file	line	function	purpose	numeric_or_non_numeric	locale_sensitive	schema_relevant	action	test_covering_it
R/paired.R	5-10;269-270;277-278	formatC via legacy_numeric_text	paired finite branch length to canonical fixed free-pre and final tokens	numeric_double	YES_OutDec_before_fix; LC_NUMERIC runtime boundary	YES_PAIRED_SCHEMA	add decimal.mark dot without changing 17-digit precision	test-session-option-invariance helper public pair and C++ validator
R/oracle.R	234-245	format via .oracle_format_length	Catnip10 primitive and fused branch length authority text	numeric_double	YES_OutDec_before_fix; LC_NUMERIC runtime boundary	YES_ORACLE_AUTHORITY	add decimal.mark dot without changing 10-digit display precision	test-session-option-invariance global and local frozen Oracle comparison
R/tree-input.R	1-3	ape::write.tree via canonical_ape_write_tree	phylo branch lengths to canonical Newick text	numeric_double_branch_lengths	YES_scipen_before_fix; LC_NUMERIC runtime boundary	YES_NEWICK_INPUT_SCHEMA	centralize conversion and pass integer digits 10L without changing precision	test-session-option-invariance public phylo species input across six settings
R/tree-input.R	9-12;26	canonical_ape_write_tree and paste	phylo species tree input and file-line joining	numeric_branch_lengths_or_input_text	canonical helper fixes OutDec/scipen; file text join is not numeric	YES_NEWICK_INPUT_SCHEMA	use centralized canonical conversion; file text reviewed no change	test-session-option-invariance species phylo path and tree-input tests
R/align.R	21,28,87,94,159,164,175,184-200,223	sprintf as.character paste paste0 canonical_ape_write_tree	phylo gene Newick conversion; IDs; diagnostics	numeric_branch_lengths_or_text_and_integer	canonical helper fixes OutDec/scipen; other hits NO	YES_NEWICK_INPUT_SCHEMA_ONLY	use canonical helper for single multiPhylo and list phylo; review other hits no change	test-session-option-invariance single multi and list phylo paths plus input validation tests
R/catnip10.R	85,98-99,145,219	sprintf paste paste0 as.character	Oracle validation diagnostics and status labels	text_and_integer	NO_OutDec_scipen	NO	reviewed no change; percent-d percent-s status text only	existing Catnip10 validation tests
R/core.R	37	as.character	coerce factor candidate branch tokens for validation	input_text_not_numeric_serializer	NO	YES_VALIDATOR_INPUT	reviewed no change	existing numeric-policy tests and session-option validator check
R/oracle.R	23,65,80,83,89,225,248,253,272,281-282,286-287,334-335,347,357,379	as.character paste paste0 sprintf	labels member sets diagnostics integer IDs and group size	integer_and_text	NO_OutDec_scipen	YES_ORACLE_IDENTITY_ONLY	reviewed separately from numeric formatter; no change	existing Oracle exactness relabeling and determinism tests
R/paired.R	25-26,58,67-68,97-98,160,164,170,180,182,192,197-198,258,317,319,381-382,453,500-501	paste paste0 sprintf as.character	lookup/fusion keys validation diagnostics state text and print counts	text_and_integer	NO_OutDec_scipen	YES_INTERNAL_KEYS_ONLY	reviewed separately from numeric formatter; no change	existing paired provenance residual validation and print tests
R/result.R	64-66	paste0	retained-taxa structured RT1 key	integer_lengths_and_text	NO_OutDec_scipen	YES_INTERNAL_KEY	reviewed no change; integer byte lengths only	existing result invariant and round-trip tests
R/result.R	38,43,47,49,84-85,120,149,170-175,195,198,200,225-226,232,245,263,271,317,330,333,353,378,408-409,454,534,538-539,546,551,576,615,622,624	as.character paste paste0 sprintf	invariant diagnostics character normalization print and summary counts	text_and_integer_human_readable	NO_OutDec_scipen	NO_FLOAT_SCHEMA	reviewed no change; numeric outputs are percent-d counts only	existing result invariants provenance print summary and round-trip tests
R/scaffold.R	11	paste0	package core and schema status string	version_text	NO	NO	reviewed no change	existing scaffold metadata tests
src/tree_core.cpp	85	std::to_string	Newick parser byte-position diagnostic	unsigned_integer_diagnostic	NO_LOCALE_FLOAT	NO	reviewed no change; integer diagnostic only	existing malformed-Newick tests
src/tree_core.cpp	275-284	std::ostringstream	join already-serialized taxon and coordinate strings	text	NO_LOCALE_FLOAT	YES_INTERNAL_KEY_HELPER	reviewed no change; no numeric insertion	existing structured-key and Unicode tests
src/tree_core.cpp	294-300	std::ostringstream hex manipulators	structured taxon-key byte encoding	unsigned_byte	NO_LOCALE_FLOAT	YES_INTERNAL_KEY	reviewed no change; hexadecimal bytes only	existing Unicode and structured-key tests
src/tree_core.cpp	423-429	std::to_string	primitive B identifier	integer	NO_LOCALE_FLOAT	YES_COORDINATE_ID	reviewed no change; integer only	existing coordinate identity tests
src/tree_core.cpp	631-637	std::ostringstream	retained-taxa RT1 key sizes	unsigned_integer_and_text	NO_LOCALE_FLOAT	YES_INTERNAL_KEY	reviewed no change; integer sizes and taxa text	existing retained-taxa invariant tests
